EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1839561.000,33088,1,AZ,1,100,0.453
1839601.000,33103,2,AZ,1,100,0.468
1839641.000,33103,2,AZ,1,100,0.488
1839681.000,33120,3,AZ,1,100,0.456
1839721.000,33120,3,AZ,1,100,0.440
1839761.000,33120,3,AZ,1,100,0.482
1839801.000,33138,3,AZ,1,100,0.460
1839841.000,33138,3,AZ,1,100,0.454
1839881.000,33138,3,AZ,1,100,0.447
1839921.000,33156,2,AZ,1,100,0.464
1839961.000,33156,2,AZ,1,100,0.447
1840001.000,33170,3,AZ,1,100,0.463
1840041.000,33170,3,AZ,1,100,0.466
1840081.000,33170,3,AZ,1,100,0.452
1840121.000,33187,2,AZ,1,100,0.464
1840161.000,33187,2,AZ,1,100,0.447
1840201.000,33203,3,AZ,1,100,0.460
1840241.000,33203,3,AZ,1,100,0.469
1840281.000,33203,3,AZ,1,100,0.442
1840321.000,33221,2,AZ,1,100,0.459
1840361.000,33221,2,AZ,1,100,0.467
1840401.000,33235,3,AZ,1,100,0.436
1840441.000,33235,3,AZ,1,100,0.479
1840481.000,33235,3,AZ,1,100,0.396
1840521.000,33252,2,AZ,1,100,0.458
1840561.000,33252,2,AZ,1,100,0.463
1840601.000,33269,3,AZ,1,100,0.426
1840641.000,33269,3,AZ,1,100,0.454
1840681.000,33269,3,AZ,1,100,0.452
1840721.000,33286,2,AZ,1,100,0.431
1840761.000,33286,2,AZ,1,100,0.471
1840801.000,33300,3,AZ,1,100,0.433
1840841.000,33300,3,AZ,1,100,0.446
1840881.000,33300,3,AZ,1,100,0.455
1840921.000,33318,2,AZ,1,100,0.432
1840961.000,33318,2,AZ,1,100,0.452
1841001.000,33336,3,AZ,1,100,0.443
1841041.000,33336,3,AZ,1,100,0.446
1841081.000,33336,3,AZ,1,100,0.452
1841121.000,33353,3,AZ,1,100,0.439
1841161.000,33353,3,AZ,1,100,0.440
1841201.000,33353,3,AZ,1,100,0.447
1841241.000,33370,2,AZ,1,100,0.439
1841281.000,33370,2,AZ,1,100,0.441
1841321.000,33387,3,AZ,1,100,0.450
1841361.000,33387,3,AZ,1,100,0.449
1841401.000,33387,3,AZ,1,100,0.430
1841441.000,33403,2,AZ,1,100,0.431
1841481.000,33403,2,AZ,1,100,0.447
1841521.000,33426,5,AZ,1,100,0.444
1841561.000,33426,5,AZ,1,100,0.441
1841601.000,33426,5,AZ,1,100,0.436
1841641.000,33426,5,AZ,1,100,0.442
1841681.000,33426,5,AZ,1,100,0.447
1841721.000,33442,2,AZ,1,100,0.443
1841761.000,33442,2,AZ,1,100,0.438
1841801.000,33459,3,AZ,1,100,0.451
1841841.000,33459,3,AZ,1,100,0.428
1841881.000,33459,3,AZ,1,100,0.441
1841921.000,33476,2,AZ,1,100,0.447
1841961.000,33476,2,AZ,1,100,0.437
1842001.000,33491,3,AZ,1,100,0.437
1842041.000,33491,3,AZ,1,100,0.438
1842081.000,33491,3,AZ,1,100,0.447
1842121.000,33507,2,AZ,1,100,0.431
1842161.000,33507,2,AZ,1,100,0.450
1842201.000,33524,3,AZ,1,100,0.431
1842241.000,33524,3,AZ,1,100,0.451
1842281.000,33524,3,AZ,1,100,0.446
1842321.000,33541,2,AZ,1,100,0.443
1842361.000,33541,2,AZ,1,100,0.446
1842401.000,33556,3,AZ,1,100,0.442
1842441.000,33556,3,AZ,1,100,0.433
1842481.000,33556,3,AZ,1,100,0.445
1842521.000,33574,2,AZ,1,100,0.455
1842561.000,33574,2,AZ,1,100,0.431
1842601.000,33592,3,AZ,1,100,0.448
1842641.000,33592,3,AZ,1,100,0.453
1842681.000,33592,3,AZ,1,100,0.437
1842721.000,33608,3,AZ,1,100,0.450
1842761.000,33608,3,AZ,1,100,0.452
1842801.000,33608,3,AZ,1,100,0.437
1842841.000,33624,2,AZ,1,100,0.464
1842881.000,33624,2,AZ,1,100,0.451
1842921.000,33640,3,AZ,1,100,0.442
1842961.000,33640,3,AZ,1,100,0.444
1843001.000,33640,3,AZ,1,100,0.447
1843041.000,33657,2,AZ,1,100,0.442
1843081.000,33657,2,AZ,1,100,0.453
1843121.000,33673,3,AZ,1,100,0.452
1843161.000,33673,3,AZ,1,100,0.431
1843201.000,33673,3,AZ,1,100,0.448
1843241.000,33691,2,AZ,1,100,0.450
1843281.000,33691,2,AZ,1,100,0.458
1843321.000,33705,3,AZ,1,100,0.432
1843361.000,33705,3,AZ,1,100,0.443
1843401.000,33705,3,AZ,1,100,0.443
1843441.000,33722,2,AZ,1,100,0.435
1843481.000,33722,2,AZ,1,100,0.445
1843521.000,33738,3,AZ,1,100,0.443
1843561.000,33738,3,AZ,1,100,0.401
1843601.000,33738,3,AZ,1,100,0.466
1843640.500,33756,2,AZ,1,100,0.441
1843680.000,33756,2,AZ,1,100,0.442
1843720.000,33770,3,AZ,1,100,0.454
1843760.000,33770,3,AZ,1,100,0.420
1843800.000,33770,3,AZ,1,100,0.481
1843840.333,33787,3,AZ,1,100,0.443
1843880.667,33787,3,AZ,1,100,0.431
1843921.000,33787,3,AZ,1,100,0.456
1843961.000,33804,2,AZ,1,100,0.436
1844001.000,33804,2,AZ,1,100,0.446
1844041.000,33821,3,AZ,1,100,0.464
1844081.000,33821,3,AZ,1,100,0.424
1844121.000,33821,3,AZ,1,100,0.448
1844161.000,33835,2,AZ,1,100,0.460
1844201.000,33835,2,AZ,1,100,0.425
1844241.000,33855,2,AZ,1,100,0.456
1844281.000,33855,2,AZ,1,100,0.448
1844325.333,33871,3,AZ,1,100,0.422
1844369.667,33871,3,AZ,1,100,0.466
1844414.000,33871,3,AZ,1,100,0.435
1844454.000,33890,2,AZ,1,100,0.454
1844494.000,33890,2,AZ,1,100,0.448
1844534.000,33904,3,AZ,1,100,0.432
1844574.000,33904,3,AZ,1,100,0.453
1844614.000,33904,3,AZ,1,100,0.434
1844654.000,33922,2,AZ,1,100,0.466
1844694.000,33922,2,AZ,1,100,0.440
1844734.000,33938,3,AZ,1,100,0.416
1844774.000,33938,3,AZ,1,100,0.472
1844814.000,33938,3,AZ,1,100,0.439
1844854.000,33955,3,AZ,1,100,0.429
1844894.000,33955,3,AZ,1,100,0.445
1844934.000,33955,3,AZ,1,100,0.438
1844974.000,33971,2,AZ,1,100,0.456
1845014.000,33971,2,AZ,1,100,0.441
1845054.000,33987,3,AZ,1,100,0.431
1845094.000,33987,3,AZ,1,100,0.458
1845134.000,33987,3,AZ,1,100,0.462
1845174.000,34005,2,AZ,1,100,0.444
1845214.000,34005,2,AZ,1,100,0.387
1845254.000,34023,3,AZ,1,100,0.464
1845294.000,34023,3,AZ,1,100,0.413
1845334.000,34023,3,AZ,1,100,0.442
1845374.000,34039,2,AZ,1,100,0.450
1845414.000,34039,2,AZ,1,100,0.442
1845454.000,34054,3,AZ,1,100,0.421
1845494.000,34054,3,AZ,1,100,0.435
1845534.000,34054,3,AZ,1,100,0.454
1845574.000,34071,2,AZ,1,100,0.433
1845614.000,34071,2,AZ,1,100,0.435
1845654.000,34088,3,AZ,1,100,0.431
1845694.000,34088,3,AZ,1,100,0.440
1845734.000,34088,3,AZ,1,100,0.435
1845774.000,34104,2,AZ,1,100,0.438
1845814.000,34104,2,AZ,1,100,0.434
1845854.000,34119,3,AZ,1,100,0.421
1845894.000,34119,3,AZ,1,100,0.440
1845934.000,34119,3,AZ,1,100,0.447
1845974.000,34136,3,AZ,1,100,0.443
1846014.000,34136,3,AZ,1,100,0.427
1846054.000,34136,3,AZ,1,100,0.419
1846094.000,34155,2,AZ,1,100,0.433
1846134.000,34155,2,AZ,1,100,0.445
1846174.000,34171,3,AZ,1,100,0.456
1846214.000,34171,3,AZ,1,100,0.422
1846254.000,34171,3,AZ,1,100,0.421
1846294.000,34187,2,AZ,1,100,0.411
1846334.000,34187,2,AZ,1,100,0.420
1846369.667,34205,3,AZ,1,100,0.458
1846405.333,34205,3,AZ,1,100,0.388
1846441.000,34205,3,AZ,1,100,0.427
1846481.000,34222,2,AZ,1,100,0.453
1846521.000,34222,2,AZ,1,100,0.430
1846561.000,34239,3,AZ,1,100,0.394
1846601.000,34239,3,AZ,1,100,0.407
1846641.000,34239,3,AZ,1,100,0.449
1846685.000,34261,3,AZ,1,100,0.416
1846729.000,34261,3,AZ,1,100,0.379
1846773.000,34261,3,AZ,1,100,0.420
1846813.333,34277,3,AZ,1,100,0.401
1846853.667,34277,3,AZ,1,100,0.421
1846894.000,34277,3,AZ,1,100,0.428
1846934.000,34295,2,AZ,1,100,0.389
1846974.000,34295,2,AZ,1,100,0.421
1847013.667,34311,3,AZ,1,100,0.413
1847053.333,34311,3,AZ,1,100,0.380
1847093.000,34311,3,AZ,1,100,0.382
1847133.333,34328,3,AZ,1,100,0.395
1847173.667,34328,3,AZ,1,100,0.401
1847214.000,34328,3,AZ,1,100,0.392
1847254.000,34345,2,AZ,1,100,0.414
1847294.000,34345,2,AZ,1,100,0.427
1847334.000,34360,3,AZ,1,100,0.359
1847374.000,34360,3,AZ,1,100,0.328
1847414.000,34360,3,AZ,1,100,0.390
1847454.000,34376,2,AZ,1,100,0.407
1847494.000,34376,2,AZ,1,100,0.378
1847534.000,34393,3,AZ,1,100,0.393
1847574.000,34393,3,AZ,1,100,0.371
1847614.000,34393,3,AZ,1,100,0.341
1847653.500,34410,2,AZ,1,100,0.385
1847693.000,34410,2,AZ,1,100,0.379
1847733.333,34425,3,AZ,1,100,0.350
1847773.667,34425,3,AZ,1,100,0.343
1847814.000,34425,3,AZ,1,100,0.330
1847854.000,34441,2,AZ,1,100,0.336
1847894.000,34441,2,AZ,1,100,0.381
1847933.667,34459,3,AZ,1,100,0.391
1847973.333,34459,3,AZ,1,100,0.402
1848013.000,34459,3,AZ,1,100,0.304
1848053.500,34475,2,AZ,1,100,0.520
1848094.000,34475,2,AZ,1,100,0.451
1848134.000,34490,3,AZ,1,100,0.489
1848174.000,34490,3,AZ,1,100,0.708
1848214.000,34490,3,AZ,1,100,0.602
1848253.667,34507,3,AZ,1,100,0.510
1848293.333,34507,3,AZ,1,100,0.491
1848333.000,34507,3,AZ,1,100,0.560
1848373.000,34524,2,AZ,1,100,0.491
1848413.000,34524,2,AZ,1,100,0.609
1848453.000,34540,3,AZ,1,100,0.510
1848493.000,34540,3,AZ,1,100,0.503
1848533.000,34540,3,AZ,1,100,0.563
1848573.000,34556,2,AZ,1,100,0.555
1848613.000,34556,2,AZ,1,100,0.542
1848653.000,34572,3,AZ,1,100,0.605
1848693.000,34572,3,AZ,1,100,0.589
1848733.000,34572,3,AZ,1,100,0.598
1848773.000,34589,2,AZ,1,100,0.623
1848813.000,34589,2,AZ,1,100,0.555
1848853.000,34605,3,AZ,1,100,0.432
1848893.000,34605,3,AZ,1,100,0.531
1848933.000,34605,3,AZ,1,100,0.646
1848973.000,34623,2,AZ,1,100,0.607
1849013.000,34623,2,AZ,1,100,0.593
1849053.000,34637,3,AZ,1,100,0.611
1849093.000,34637,3,AZ,1,100,0.663
1849133.000,34637,3,AZ,1,100,0.890
1849173.000,34654,2,AZ,1,100,1.170
1849213.000,34654,2,AZ,1,100,1.110
1849253.000,34671,3,AZ,1,100,1.314
1849293.000,34671,3,AZ,1,100,0.699
1849333.000,34671,3,AZ,1,100,0.410
1849373.000,34688,2,AZ,1,100,0.398
1849413.000,34688,2,AZ,1,100,0.348
1849453.000,34702,3,AZ,1,100,0.304
1849493.000,34702,3,AZ,1,100,0.357
1849533.000,34702,3,AZ,1,100,0.475
1849573.000,34720,3,AZ,1,100,0.254
1849613.000,34720,3,AZ,1,100,0.707
1849653.000,34720,3,AZ,1,100,0.771
1849693.000,34736,2,AZ,1,100,0.825
1849733.000,34736,2,AZ,1,100,0.722
1849773.000,34753,3,AZ,1,100,0.678
1849813.000,34753,3,AZ,1,100,0.634
1849853.000,34753,3,AZ,1,100,0.604
1849893.000,34767,2,AZ,1,100,0.693
1849933.000,34767,2,AZ,1,100,0.648
1849973.000,34785,3,AZ,1,100,0.597
1850013.000,34785,3,AZ,1,100,0.625
1850053.000,34785,3,AZ,1,100,0.460
1850093.000,34801,2,AZ,1,100,0.413
1850133.000,34801,2,AZ,1,100,0.339
1850173.000,34818,3,AZ,1,100,0.323
1850213.000,34818,3,AZ,1,100,0.415
1850253.000,34818,3,AZ,1,100,0.504
1850293.000,34833,2,AZ,1,100,0.572
1850333.000,34833,2,AZ,1,100,0.759
1850373.000,34850,3,AZ,1,100,0.807
1850413.000,34850,3,AZ,1,100,0.722
1850453.000,34850,3,AZ,1,100,0.567
1850493.000,34866,2,AZ,1,100,0.543
1850533.000,34866,2,AZ,1,100,0.404
1850573.000,34884,3,AZ,1,100,0.510
1850613.000,34884,3,AZ,1,100,0.492
1850653.000,34884,3,AZ,1,100,0.608
1850693.000,34899,2,AZ,1,100,0.406
1850733.000,34899,2,AZ,1,100,0.699
1850773.000,34915,3,AZ,1,100,0.449
1850813.000,34915,3,AZ,1,100,0.533
1850853.000,34915,3,AZ,1,100,0.556
1850893.000,34932,3,AZ,1,100,0.641
1850933.000,34932,3,AZ,1,100,0.610
1850973.000,34932,3,AZ,1,100,0.075
1851013.000,34949,2,AZ,1,100,-0.190
1851053.000,34949,2,AZ,1,100,-0.088
1851093.000,34965,3,AZ,1,100,0.406
1851133.000,34965,3,AZ,1,100,0.649
1851173.000,34965,3,AZ,1,100,0.986
1851213.000,34980,2,AZ,1,100,1.176
1851253.000,34980,2,AZ,1,100,1.300
1851293.000,34999,3,AZ,1,100,1.293
1851333.000,34999,3,AZ,1,100,1.045
1851373.000,34999,3,AZ,1,100,1.331
1851413.000,35016,2,AZ,1,100,1.178
1851453.000,35016,2,AZ,1,100,0.839
1851493.000,35032,3,AZ,1,100,0.912
1851533.000,35032,3,AZ,1,100,0.744
1851573.000,35032,3,AZ,1,100,0.734
1851613.000,35048,2,AZ,1,100,0.593
1851653.000,35048,2,AZ,1,100,0.702
1851693.000,35064,3,AZ,1,100,0.807
1851733.000,35064,3,AZ,1,100,0.616
1851773.000,35064,3,AZ,1,100,0.438
1851813.000,35086,4,AZ,1,100,0.396
1851853.000,35086,4,AZ,1,100,0.340
1851893.000,35086,4,AZ,1,100,0.299
1851933.000,35086,4,AZ,1,100,0.441
1851973.000,35103,2,AZ,1,100,0.385
1852013.000,35103,2,AZ,1,100,0.266
1852053.000,35120,3,AZ,1,100,0.369
1852093.000,35120,3,AZ,1,100,0.261
1852133.000,35120,3,AZ,1,100,0.248
1852173.000,35135,2,AZ,1,100,0.176
1852213.000,35135,2,AZ,1,100,0.103
1852253.000,35152,3,AZ,1,100,0.013
1852293.000,35152,3,AZ,1,100,-0.070
1852333.000,35152,3,AZ,1,100,-0.054
1852373.000,35168,2,AZ,1,100,-0.132
1852413.000,35168,2,AZ,1,100,-0.165
1852453.000,35185,3,AZ,1,100,-0.234
1852493.000,35185,3,AZ,1,100,-0.244
1852533.000,35185,3,AZ,1,100,-0.561
1852573.000,35202,2,AZ,1,100,-0.479
1852613.000,35202,2,AZ,1,100,-0.421
1852653.000,35217,3,AZ,1,100,-0.432
1852693.000,35217,3,AZ,1,100,-0.428
1852733.000,35217,3,AZ,1,100,-0.352
1852773.000,35233,2,AZ,1,100,-0.362
1852813.000,35233,2,AZ,1,100,-0.631
1852853.000,35250,3,AZ,1,100,-0.615
1852893.000,35250,3,AZ,1,100,-0.668
1852933.000,35250,3,AZ,1,100,-0.659
1852973.000,35267,2,AZ,1,100,-0.673
1853013.000,35267,2,AZ,1,100,-0.746
1853053.000,35282,3,AZ,1,100,-0.708
1853093.000,35282,3,AZ,1,100,-0.705
1853133.000,35282,3,AZ,1,100,-0.714
1853173.000,35298,3,AZ,1,100,-0.888
1853213.000,35298,3,AZ,1,100,-0.883
1853253.000,35298,3,AZ,1,100,-0.963
1853293.000,35316,2,AZ,1,100,-0.912
1853333.000,35316,2,AZ,1,100,-0.914
1853373.000,35332,3,AZ,1,100,-0.942
1853413.000,35332,3,AZ,1,100,-1.023
1853453.000,35332,3,AZ,1,100,-0.976
1853493.000,35347,2,AZ,1,100,-1.031
1853533.000,35347,2,AZ,1,100,-0.993
1853573.000,35364,3,AZ,1,100,-0.992
1853613.000,35364,3,AZ,1,100,-1.015
1853653.000,35364,3,AZ,1,100,-0.997
1853693.000,35381,2,AZ,1,100,-1.008
1853733.000,35381,2,AZ,1,100,-0.996
1853773.000,35397,3,AZ,1,100,-1.012
1853813.000,35397,3,AZ,1,100,-1.011
1853853.000,35397,3,AZ,1,100,-1.011
1853893.000,35412,2,AZ,1,100,-1.007
1853933.000,35412,2,AZ,1,100,-0.998
1853973.000,35429,3,AZ,1,100,-1.010
1854013.000,35429,3,AZ,1,100,-1.009
1854053.000,35429,3,AZ,1,100,-1.006
1854093.000,35446,2,AZ,1,100,-1.005
1854133.000,35446,2,AZ,1,100,-1.009
1854173.000,35462,3,AZ,1,100,-1.003
1854213.000,35462,3,AZ,1,100,-1.010
1854253.000,35462,3,AZ,1,100,-1.008
1854293.000,35479,2,AZ,1,100,-1.007
1854333.000,35479,2,AZ,1,100,-1.012
1854373.000,35494,3,AZ,1,100,-1.008
1854413.000,35494,3,AZ,1,100,-0.999
1854453.000,35494,3,AZ,1,100,-0.983
1854493.000,35511,2,AZ,1,100,-1.026
1854533.000,35511,2,AZ,1,100,-0.962
1854573.000,35528,3,AZ,1,100,-0.988
1854613.000,35528,3,AZ,1,100,-0.886
1854653.000,35528,3,AZ,1,100,-0.773
1854693.000,35545,3,AZ,1,100,-0.727
1854733.000,35545,3,AZ,1,100,-0.735
1854773.000,35545,3,AZ,1,100,-0.721
1854813.000,35559,2,AZ,1,100,-0.476
1854853.000,35559,2,AZ,1,100,-0.343
1854893.000,35577,3,AZ,1,100,-0.350
1854933.000,35577,3,AZ,1,100,-0.479
1854973.000,35577,3,AZ,1,100,-0.240
1855013.000,35593,2,AZ,1,100,-0.400
1855053.000,35593,2,AZ,1,100,-0.419
1855093.000,35610,3,AZ,1,100,-0.509
1855133.000,35610,3,AZ,1,100,-0.250
1855173.000,35610,3,AZ,1,100,-0.392
1855213.000,35624,2,AZ,1,100,-0.427
1855253.000,35624,2,AZ,1,100,-0.423
1855293.000,35642,3,AZ,1,100,-0.389
1855333.000,35642,3,AZ,1,100,-0.385
1855373.000,35642,3,AZ,1,100,-0.389
1855413.000,35658,2,AZ,1,100,-0.387
1855453.000,35658,2,AZ,1,100,-0.386
1855493.000,35675,3,AZ,1,100,-0.388
1855533.000,35675,3,AZ,1,100,-0.388
1855573.000,35675,3,AZ,1,100,-0.387
1855613.000,35690,2,AZ,1,100,-0.384
1855653.000,35690,2,AZ,1,100,-0.387
1855693.000,35707,3,AZ,1,100,-0.389
1855733.000,35707,3,AZ,1,100,-0.385
1855773.000,35707,3,AZ,1,100,-0.389
1855813.000,35723,2,AZ,1,100,-0.386
1855853.000,35723,2,AZ,1,100,-0.385
1855893.000,35741,3,AZ,1,100,-0.389
1855933.000,35741,3,AZ,1,100,-0.386
1855973.000,35741,3,AZ,1,100,-0.390
1856013.000,35755,3,AZ,1,100,-0.392
1856053.000,35755,3,AZ,1,100,-0.380
1856093.000,35755,3,AZ,1,100,-0.388
1856133.000,35772,2,AZ,1,100,-0.390
1856173.000,35772,2,AZ,1,100,-0.380
1856213.000,35788,3,AZ,1,100,-0.388
1856253.000,35788,3,AZ,1,100,-0.388
1856293.000,35788,3,AZ,1,100,-0.385
1856333.000,35808,2,AZ,1,100,-0.386
1856373.000,35808,2,AZ,1,100,-0.378
1856413.000,35823,3,AZ,1,100,-0.381
1856453.000,35823,3,AZ,1,100,-0.395
1856493.000,35823,3,AZ,1,100,-0.389
1856533.000,35839,2,AZ,1,100,-0.379
1856573.000,35839,2,AZ,1,100,-0.385
1856613.000,35856,3,AZ,1,100,-0.392
1856653.000,35856,3,AZ,1,100,-0.390
1856693.000,35856,3,AZ,1,100,-0.382
1856733.000,35873,2,AZ,1,100,-0.381
1856773.000,35873,2,AZ,1,100,-0.390
1856813.000,35889,3,AZ,1,100,-0.393
1856853.000,35889,3,AZ,1,100,-0.386
1856893.000,35889,3,AZ,1,100,-0.382
1856933.000,35912,4,AZ,1,100,-0.393
1856973.000,35912,4,AZ,1,100,-0.392
1857013.000,35912,4,AZ,1,100,-0.383
1857053.000,35912,4,AZ,1,100,-0.383
1857093.000,35926,2,AZ,1,100,-0.389
1857133.000,35926,2,AZ,1,100,-0.392
1857173.000,35943,3,AZ,1,100,-0.387
1857213.000,35943,3,AZ,1,100,-0.385
1857253.000,35943,3,AZ,1,100,-0.390
1857293.000,35960,2,AZ,1,100,-0.391
1857333.000,35960,2,AZ,1,100,-0.385
1857373.000,35977,3,AZ,1,100,-0.383
1857413.000,35977,3,AZ,1,100,-0.385
1857453.000,35977,3,AZ,1,100,-0.391
1857492.500,35992,2,AZ,1,100,-0.387
1857532.000,35992,2,AZ,1,100,-0.381
1857572.000,36009,3,AZ,1,100,-0.389
1857612.000,36009,3,AZ,1,100,-0.391
1857652.000,36009,3,AZ,1,100,-0.388
1857692.333,36025,3,AZ,1,100,-0.386
1857732.667,36025,3,AZ,1,100,-0.386
1857773.000,36025,3,AZ,1,100,-0.392
1857812.500,36042,2,AZ,1,100,-0.387
1857852.000,36042,2,AZ,1,100,-0.384
1857892.000,36059,3,AZ,1,100,-0.388
1857932.000,36059,3,AZ,1,100,-0.388
1857972.000,36059,3,AZ,1,100,-0.387
1858012.500,36074,2,AZ,1,100,-0.388
1858053.000,36074,2,AZ,1,100,-0.386
1858093.000,36090,3,AZ,1,100,-0.387
1858133.000,36090,3,AZ,1,100,-0.388
1858173.000,36090,3,AZ,1,100,-0.388
1858213.000,36107,2,AZ,1,100,-0.387
