EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1839567.000,33084,1,T1,1,100,30.320
1839700.000,33116,1,T1,1,100,30.245
1839833.000,33134,1,T1,1,100,30.283
1839967.000,33152,1,T1,1,100,30.158
1840100.000,33183,1,T1,1,100,30.175
1840233.000,33199,1,T1,1,100,30.288
1840367.000,33217,1,T1,1,100,30.373
1840500.000,33248,1,T1,1,100,30.303
1840633.000,33265,1,T1,1,100,30.308
1840767.000,33282,1,T1,1,100,30.346
1840900.000,33314,1,T1,1,100,30.327
1841033.000,33332,1,T1,1,100,30.425
1841167.000,33349,1,T1,1,100,30.290
1841300.000,33366,1,T1,1,100,30.197
1841433.000,33399,1,T1,1,100,30.333
1841567.000,33422,1,T1,1,100,30.286
1841700.000,33438,1,T1,1,100,30.266
1841833.000,33455,1,T1,1,100,30.221
1841967.000,33472,1,T1,1,100,30.202
1842100.000,33503,1,T1,1,100,30.123
1842233.000,33520,1,T1,1,100,30.195
1842367.000,33537,1,T1,1,100,30.226
1842500.000,33570,1,T1,1,100,30.204
1842633.000,33588,1,T1,1,100,30.230
1842767.000,33604,1,T1,1,100,30.348
1842900.000,33621,1,T1,1,100,30.292
1843033.000,33653,1,T1,1,100,30.268
1843167.000,33669,1,T1,1,100,30.152
1843300.000,33687,1,T1,1,100,30.136
1843433.000,33718,1,T1,1,100,30.236
1843566.000,33734,1,T1,1,100,30.244
1843700.000,33752,1,T1,1,100,30.212
1843833.000,33783,1,T1,1,100,30.234
1843966.000,33800,1,T1,1,100,30.349
1844100.000,33817,1,T1,1,100,30.399
1844233.000,33851,1,T1,1,100,30.350
1844366.000,33867,1,T1,1,100,30.329
1844500.000,33886,1,T1,1,100,30.213
1844633.000,33918,1,T1,1,100,30.305
1844766.000,33934,1,T1,1,100,30.345
1844900.000,33951,1,T1,1,100,30.326
1845033.000,33968,1,T1,1,100,30.212
1845166.000,34001,1,T1,1,100,30.234
1845300.000,34019,1,T1,1,100,30.207
1845433.000,34035,1,T1,1,100,30.196
1845566.000,34067,1,T1,1,100,30.227
1845700.000,34084,1,T1,1,100,30.275
1845833.000,34100,1,T1,1,100,30.261
1845966.000,34132,1,T1,1,100,30.326
1846100.000,34151,1,T1,1,100,30.318
1846233.000,34167,1,T1,1,100,30.244
1846366.000,34201,1,T1,1,100,30.247
1846500.000,34218,1,T1,1,100,30.391
1846633.000,34235,1,T1,1,100,30.240
1846766.000,34257,1,T1,1,100,30.175
1846899.000,34273,1,T1,1,100,30.253
1847033.000,34307,1,T1,1,100,30.322
1847166.000,34324,1,T1,1,100,30.246
1847299.000,34341,1,T1,1,100,30.248
1847433.000,34372,1,T1,1,100,30.214
1847566.000,34389,1,T1,1,100,30.199
1847699.000,34406,1,T1,1,100,30.263
1847833.000,34437,1,T1,1,100,30.220
1847966.000,34455,1,T1,1,100,30.273
1848099.000,34471,1,T1,1,100,30.295
1848233.000,34503,1,T1,1,100,30.234
1848366.000,34520,1,T1,1,100,30.243
1848499.000,34536,1,T1,1,100,30.282
1848633.000,34553,1,T1,1,100,30.229
1848766.000,34585,1,T1,1,100,30.170
1848899.000,34601,1,T1,1,100,30.251
1849033.000,34619,1,T1,1,100,30.321
1849166.000,34650,1,T1,1,100,30.316
1849299.000,34667,1,T1,1,100,30.350
1849433.000,34684,1,T1,1,100,30.222
1849566.000,34716,1,T1,1,100,30.309
1849699.000,34732,1,T1,1,100,30.346
1849832.000,34749,1,T1,1,100,30.292
1849966.000,34781,1,T1,1,100,30.268
1850099.000,34797,1,T1,1,100,30.258
1850233.000,34814,1,T1,1,100,30.289
1850366.000,34846,1,T1,1,100,30.444
1850499.000,34862,1,T1,1,100,30.440
1850632.000,34880,1,T1,1,100,30.297
1850766.000,34896,1,T1,1,100,30.270
1850899.000,34928,1,T1,1,100,30.259
1851032.000,34945,1,T1,1,100,30.183
1851166.000,34961,1,T1,1,100,30.327
1851299.000,34995,1,T1,1,100,30.354
1851432.000,35012,1,T1,1,100,30.366
1851566.000,35028,1,T1,1,100,30.300
1851699.000,35060,1,T1,1,100,30.307
1851832.000,35082,1,T1,1,100,30.204
1851966.000,35099,1,T1,1,100,30.301
1852099.000,35116,1,T1,1,100,30.272
1852232.000,35132,1,T1,1,100,30.330
1852366.000,35164,1,T1,1,100,30.391
1852499.000,35181,1,T1,1,100,30.240
1852632.000,35198,1,T1,1,100,30.139
1852766.000,35229,1,T1,1,100,30.167
1852899.000,35246,1,T1,1,100,30.249
1853032.000,35263,1,T1,1,100,30.214
1853166.000,35294,1,T1,1,100,30.270
1853299.000,35312,1,T1,1,100,30.471
1853432.000,35328,1,T1,1,100,30.381
1853565.000,35360,1,T1,1,100,30.307
1853699.000,35377,1,T1,1,100,30.239
1853832.000,35393,1,T1,1,100,30.210
1853965.000,35425,1,T1,1,100,30.304
1854099.000,35442,1,T1,1,100,30.344
1854232.000,35458,1,T1,1,100,30.255
1854365.000,35476,1,T1,1,100,30.394
1854499.000,35507,1,T1,1,100,30.312
1854632.000,35524,1,T1,1,100,30.206
1854765.000,35541,1,T1,1,100,30.266
1854899.000,35573,1,T1,1,100,30.222
1855032.000,35589,1,T1,1,100,30.167
1855165.000,35606,1,T1,1,100,30.214
1855299.000,35638,1,T1,1,100,30.305
1855432.000,35654,1,T1,1,100,30.238
1855565.000,35671,1,T1,1,100,30.316
1855699.000,35703,1,T1,1,100,30.279
1855832.000,35719,1,T1,1,100,30.227
1855965.000,35737,1,T1,1,100,30.205
1856099.000,35768,1,T1,1,100,30.266
1856232.000,35784,1,T1,1,100,30.186
1856365.000,35804,1,T1,1,100,30.187
1856499.000,35820,1,T1,1,100,30.294
1856632.000,35852,1,T1,1,100,30.304
1856765.000,35869,1,T1,1,100,30.309
1856898.000,35885,1,T1,1,100,30.346
1857032.000,35908,1,T1,1,100,30.292
1857165.000,35939,1,T1,1,100,30.339
1857298.000,35956,1,T1,1,100,30.288
1857432.000,35973,1,T1,1,100,30.267
1857565.000,35989,1,T1,1,100,30.257
1857698.000,36021,1,T1,1,100,30.289
1857832.000,36038,1,T1,1,100,30.196
1857965.000,36055,1,T1,1,100,30.227
1858098.000,36086,1,T1,1,100,30.204
1858232.000,36103,1,T1,1,100,30.195
1858365.000,36120,1,T1,1,100,30.191
1858498.000,36151,1,T1,1,100,30.153
1858632.000,36169,1,T1,1,100,30.137
1858765.000,36185,1,T1,1,100,30.166
1858898.000,36217,1,T1,1,100,30.178
1859032.000,36234,1,T1,1,100,30.148
1859165.000,36250,1,T1,1,100,30.170
1859298.000,36282,1,T1,1,100,30.216
1859432.000,36299,1,T1,1,100,30.164
1859565.000,36315,1,T1,1,100,30.248
1859698.000,36333,1,T1,1,100,30.320
1859832.000,36364,1,T1,1,100,30.280
1859965.000,36381,1,T1,1,100,30.299
1860098.000,36398,1,T1,1,100,30.271
1860231.000,36430,1,T1,1,100,30.188
1860365.000,36446,1,T1,1,100,30.223
1860498.000,36463,1,T1,1,100,30.309
1860631.000,36495,1,T1,1,100,30.169
1860765.000,36511,1,T1,1,100,30.215
1860898.000,36528,1,T1,1,100,30.306
1861031.000,36560,1,T1,1,100,30.274
1861165.000,36576,1,T1,1,100,30.296
1861298.000,36594,1,T1,1,100,30.341
1861431.000,36627,1,T1,1,100,30.325
1861565.000,36643,1,T1,1,100,30.389
1861698.000,36661,1,T1,1,100,30.381
1861831.000,36677,1,T1,1,100,30.236
1861965.000,36709,1,T1,1,100,30.173
1862098.000,36729,1,T1,1,100,30.146
1862231.000,36745,1,T1,1,100,30.134
1862365.000,36763,1,T1,1,100,30.200
1862498.000,36794,1,T1,1,100,30.264
1862631.000,36811,1,T1,1,100,30.220
1862765.000,36828,1,T1,1,100,30.273
1862898.000,36860,1,T1,1,100,30.224
1863031.000,36876,1,T1,1,100,30.203
1863164.000,36893,1,T1,1,100,30.194
1863298.000,36925,1,T1,1,100,30.332
1863431.000,36941,1,T1,1,100,30.250
1863564.000,36958,1,T1,1,100,30.321
1863698.000,36975,1,T1,1,100,30.316
1863831.000,37006,1,T1,1,100,30.243
1863964.000,37024,1,T1,1,100,30.247
1864098.000,37040,1,T1,1,100,30.213
1864231.000,37072,1,T1,1,100,30.199
1864364.000,37089,1,T1,1,100,30.192
1864498.000,37105,1,T1,1,100,30.261
1864631.000,37137,1,T1,1,100,30.290
1864764.000,37154,1,T1,1,100,30.267
1864898.000,37170,1,T1,1,100,30.293
1865031.000,37202,1,T1,1,100,30.198
1865164.000,37219,1,T1,1,100,30.298
1865298.000,37236,1,T1,1,100,30.342
1865431.000,37267,1,T1,1,100,30.183
1865564.000,37284,1,T1,1,100,30.328
1865698.000,37301,1,T1,1,100,30.284
1865831.000,37318,1,T1,1,100,30.158
1865964.000,37350,1,T1,1,100,30.139
1866098.000,37366,1,T1,1,100,30.202
1866231.000,37384,1,T1,1,100,30.194
1866364.000,37402,1,T1,1,100,30.261
1866497.000,37419,1,T1,1,100,30.290
1866631.000,37451,1,T1,1,100,30.267
1866764.000,37467,1,T1,1,100,30.293
1866898.000,37484,1,T1,1,100,30.269
1867031.000,37501,1,T1,1,100,30.258
1867164.000,37539,1,T1,1,100,30.253
1867297.000,37557,1,T1,1,100,30.322
1867431.000,37573,1,T1,1,100,30.210
1867564.000,37590,1,T1,1,100,30.410
1867697.000,37607,1,T1,1,100,30.319
1867831.000,37638,1,T1,1,100,30.245
1867964.000,37656,1,T1,1,100,30.283
1868097.000,37672,1,T1,1,100,30.229
1868231.000,37704,1,T1,1,100,30.205
1868364.000,37721,1,T1,1,100,30.124
1868497.000,37737,1,T1,1,100,30.231
1868631.000,37755,1,T1,1,100,30.135
1868764.000,37786,1,T1,1,100,30.236
1868897.000,37802,1,T1,1,100,30.315
1869031.000,37820,1,T1,1,100,30.278
1869164.000,37851,1,T1,1,100,30.298
1869297.000,37868,1,T1,1,100,30.342
1869431.000,37885,1,T1,1,100,30.290
1869564.000,37917,1,T1,1,100,30.267
1869697.000,37933,1,T1,1,100,30.328
1869830.000,37950,1,T1,1,100,30.355
1869964.000,37982,1,T1,1,100,30.437
1870097.000,37998,1,T1,1,100,30.402
1870230.000,38015,1,T1,1,100,30.316
1870364.000,38032,1,T1,1,100,30.349
1870497.000,38063,1,T1,1,100,30.364
1870630.000,38081,1,T1,1,100,30.264
1870764.000,38097,1,T1,1,100,30.185
1870897.000,38129,1,T1,1,100,30.293
1871030.000,38146,1,T1,1,100,30.233
1871164.000,38162,1,T1,1,100,30.172
1871297.000,38179,1,T1,1,100,30.145
1871430.000,38213,1,T1,1,100,30.205
1871564.000,38229,1,T1,1,100,30.195
1871697.000,38247,1,T1,1,100,30.297
1871830.000,38278,1,T1,1,100,30.235
1871964.000,38295,1,T1,1,100,30.243
1872097.000,38312,1,T1,1,100,30.247
1872230.000,38349,2,T1,1,100,30.249
1872363.000,38349,2,T1,1,100,30.285
1872497.000,38366,1,T1,1,100,30.301
1872630.000,38398,1,T1,1,100,30.201
1872764.000,38414,1,T1,1,100,30.264
1872897.000,38431,1,T1,1,100,30.363
1873030.000,38448,1,T1,1,100,30.263
1873163.000,38479,1,T1,1,100,30.220
1873297.000,38497,1,T1,1,100,30.308
1873430.000,38513,1,T1,1,100,30.240
1873563.000,38545,1,T1,1,100,30.246
1873697.000,38562,1,T1,1,100,30.284
1873830.000,38578,1,T1,1,100,30.229
1873964.000,38610,1,T1,1,100,30.241
1874097.000,38627,1,T1,1,100,30.246
1874230.000,38643,1,T1,1,100,30.284
1874363.000,38675,1,T1,1,100,30.300
1874497.000,38692,1,T1,1,100,30.307
1874630.000,38709,1,T1,1,100,30.204
1874763.000,38740,1,T1,1,100,30.301
1874897.000,38757,1,T1,1,100,30.307
1875030.000,38774,1,T1,1,100,30.204
1875163.000,38791,1,T1,1,100,30.266
1875296.000,38823,1,T1,1,100,30.363
1875430.000,38839,1,T1,1,100,30.228
1875563.000,38856,1,T1,1,100,30.276
1875697.000,38873,1,T1,1,100,30.297
1875830.000,38904,1,T1,1,100,30.306
1875963.000,38922,1,T1,1,100,30.274
1876096.000,38938,1,T1,1,100,30.331
1876230.000,38970,1,T1,1,100,30.250
1876363.000,38989,1,T1,1,100,30.250
1876496.000,39005,1,T1,1,100,30.356
1876630.000,39037,1,T1,1,100,30.331
1876763.000,39054,1,T1,1,100,30.321
1876896.000,39070,1,T1,1,100,30.352
1877030.000,39102,1,T1,1,100,30.329
1877163.000,39119,1,T1,1,100,30.391
1877296.000,39136,1,T1,1,100,30.346
1877430.000,39158,1,T1,1,100,30.398
1877563.000,39174,1,T1,1,100,30.491
1877696.000,39192,1,T1,1,100,30.425
1877830.000,39208,1,T1,1,100,30.326
1877963.000,39240,1,T1,1,100,30.283
1878096.000,39257,1,T1,1,100,30.300
1878230.000,39273,1,T1,1,100,30.236
1878363.000,39305,1,T1,1,100,30.350
1878496.000,39322,1,T1,1,100,30.293
1878630.000,39339,1,T1,1,100,30.304
1878763.000,39370,1,T1,1,100,30.238
1878896.000,39387,1,T1,1,100,30.422
1879030.000,39404,1,T1,1,100,30.324
1879163.000,39435,1,T1,1,100,30.318
1879296.000,39453,1,T1,1,100,30.315
1879430.000,39469,1,T1,1,100,30.278
1879563.000,39486,1,T1,1,100,30.333
1879696.000,39518,1,T1,1,100,30.392
1879829.000,39534,1,T1,1,100,30.312
1879963.000,39552,1,T1,1,100,30.312
1880096.000,39583,1,T1,1,100,30.312
1880229.000,39599,1,T1,1,100,30.277
1880363.000,39617,1,T1,1,100,30.333
1880496.000,39648,1,T1,1,100,30.392
1880629.000,39665,1,T1,1,100,30.311
1880763.000,39682,1,T1,1,100,30.383
1880896.000,39698,1,T1,1,100,30.378
1881029.000,39730,1,T1,1,100,30.270
1881163.000,39747,1,T1,1,100,30.294
1881296.000,39764,1,T1,1,100,30.446
1881429.000,39797,1,T1,1,100,30.406
1881563.000,39814,1,T1,1,100,30.282
1881696.000,39831,1,T1,1,100,30.264
1881829.000,39862,1,T1,1,100,30.327
1881962.500,39880,2,T1,1,100,30.354
1882096.000,39880,2,T1,1,100,30.331
1882229.000,39896,1,T1,1,100,30.285
1882362.000,39914,1,T1,1,100,30.265
1882495.500,39937,2,T1,1,100,30.292
1882629.000,39937,2,T1,1,100,30.304
1882763.000,39953,1,T1,1,100,30.273
1882896.000,39970,1,T1,1,100,30.295
1883029.000,40002,1,T1,1,100,30.305
1883163.000,40018,1,T1,1,100,30.345
1883296.000,40036,1,T1,1,100,30.397
1883429.000,40052,1,T1,1,100,30.420
1883562.000,40083,1,T1,1,100,30.288
1883696.000,40101,1,T1,1,100,30.373
1883829.000,40117,1,T1,1,100,30.339
1883962.000,40149,1,T1,1,100,30.288
1884096.000,40166,1,T1,1,100,30.302
1884229.000,40182,1,T1,1,100,30.343
1884362.000,40214,1,T1,1,100,30.290
1884496.000,40231,1,T1,1,100,30.303
1884629.000,40248,1,T1,1,100,30.344
1884762.000,40279,1,T1,1,100,30.291
1884896.000,40296,1,T1,1,100,30.338
1885029.000,40313,1,T1,1,100,30.395
1885162.000,40344,1,T1,1,100,30.313
1885296.000,40362,1,T1,1,100,30.348
1885429.000,40378,1,T1,1,100,30.434
1885562.000,40395,1,T1,1,100,30.401
1885696.000,40427,1,T1,1,100,30.351
1885829.000,40443,1,T1,1,100,30.364
1885962.000,40460,1,T1,1,100,30.370
1886096.000,40492,1,T1,1,100,30.373
1886229.000,40508,1,T1,1,100,30.410
1886362.000,40528,1,T1,1,100,30.284
1886495.000,40559,1,T1,1,100,30.335
1886629.000,40576,1,T1,1,100,30.358
1886762.000,40593,1,T1,1,100,30.368
1886895.000,40625,1,T1,1,100,30.372
1887029.000,40641,1,T1,1,100,30.480
1887162.000,40658,1,T1,1,100,30.491
1887295.000,40690,1,T1,1,100,30.532
1887429.000,40706,1,T1,1,100,30.443
1887562.000,40723,1,T1,1,100,30.369
1887695.500,40759,2,T1,1,100,30.514
1887829.000,40759,2,T1,1,100,30.471
1887962.000,40791,1,T1,1,100,30.416
1888095.000,40807,1,T1,1,100,30.357
1888229.000,40824,1,T1,1,100,30.403
1888362.000,40856,1,T1,1,100,30.458
1888495.000,40872,1,T1,1,100,30.375
1888629.000,40890,1,T1,1,100,30.446
1888762.000,40921,1,T1,1,100,30.299
1888895.000,40937,1,T1,1,100,30.413
1889029.000,40955,1,T1,1,100,30.427
1889162.000,40971,1,T1,1,100,30.327
1889295.000,41003,1,T1,1,100,30.283
1889428.000,41020,1,T1,1,100,30.442
1889562.000,41036,1,T1,1,100,30.368
1889695.000,41068,1,T1,1,100,30.408
1889828.000,41085,1,T1,1,100,30.531
1889962.000,41102,1,T1,1,100,30.478
1890095.000,41133,1,T1,1,100,30.490
1890228.000,41150,1,T1,1,100,30.460
1890362.000,41167,1,T1,1,100,30.483
1890495.000,41198,1,T1,1,100,30.351
1890628.000,41216,1,T1,1,100,30.365
1890762.000,41232,1,T1,1,100,30.370
1890895.000,41264,1,T1,1,100,30.515
1891028.000,41281,1,T1,1,100,30.471
1891162.000,41297,1,T1,1,100,30.452
1891295.000,41331,1,T1,1,100,30.515
1891428.000,41348,1,T1,1,100,30.542
1891562.000,41364,1,T1,1,100,30.483
1891695.000,41382,1,T1,1,100,30.422
1891828.000,41413,1,T1,1,100,30.537
1891962.000,41430,1,T1,1,100,30.410
1892095.000,41447,1,T1,1,100,30.390
1892228.000,41479,1,T1,1,100,30.523
1892362.000,41495,1,T1,1,100,30.333
1892495.000,41512,1,T1,1,100,30.392
1892628.000,41544,1,T1,1,100,30.453
1892762.000,41560,1,T1,1,100,30.409
1892895.000,41583,1,T1,1,100,30.496
1893028.000,41600,1,T1,1,100,30.534
1893162.000,41617,1,T1,1,100,30.444
1893295.000,41649,1,T1,1,100,30.440
1893428.000,41665,1,T1,1,100,30.545
1893562.000,41682,1,T1,1,100,30.484
1893695.000,41714,1,T1,1,100,30.493
1893828.000,41730,1,T1,1,100,30.568
1893961.000,41748,1,T1,1,100,30.494
1894095.000,41779,1,T1,1,100,30.497
1894228.000,41795,1,T1,1,100,30.534
1894361.000,41813,1,T1,1,100,30.479
1894495.000,41844,1,T1,1,100,30.420
1894628.000,41861,1,T1,1,100,30.536
1894761.000,41878,1,T1,1,100,30.445
1894895.000,41910,1,T1,1,100,30.512
1895028.000,41926,1,T1,1,100,30.470
1895161.000,41943,1,T1,1,100,30.416
1895295.000,41975,1,T1,1,100,30.464
1895428.000,41991,1,T1,1,100,30.555
1895561.000,42008,1,T1,1,100,30.559
1895695.000,42025,1,T1,1,100,30.597
1895828.000,42056,1,T1,1,100,30.542
1895961.000,42074,1,T1,1,100,30.483
1896095.000,42090,1,T1,1,100,30.528
1896228.000,42122,1,T1,1,100,30.512
1896361.000,42141,1,T1,1,100,30.470
1896494.000,42157,1,T1,1,100,30.451
1896628.000,42189,1,T1,1,100,30.621
1896761.000,42206,1,T1,1,100,30.481
1896895.000,42222,1,T1,1,100,30.598
1897028.000,42254,1,T1,1,100,30.613
1897161.000,42271,1,T1,1,100,30.478
1897294.000,42288,1,T1,1,100,30.561
1897428.000,42319,1,T1,1,100,30.598
1897561.000,42336,1,T1,1,100,30.507
1897694.000,42353,1,T1,1,100,30.538
1897828.000,42370,1,T1,1,100,30.588
1897961.000,42407,1,T1,1,100,30.573
1898094.000,42423,1,T1,1,100,30.496
1898228.000,42440,1,T1,1,100,30.534
1898361.000,42457,1,T1,1,100,30.408
1898494.000,42488,1,T1,1,100,30.496
1898628.000,42506,1,T1,1,100,30.534
1898761.000,42522,1,T1,1,100,30.515
1898894.000,42554,1,T1,1,100,30.471
1899027.000,42571,1,T1,1,100,30.523
1899161.000,42587,1,T1,1,100,30.510
1899294.000,42619,1,T1,1,100,30.504
1899428.000,42636,1,T1,1,100,30.573
1899561.000,42652,1,T1,1,100,30.496
1899694.000,42670,1,T1,1,100,30.498
1899828.000,42701,1,T1,1,100,30.464
1899961.000,42718,1,T1,1,100,30.555
1900094.000,42735,1,T1,1,100,30.595
1900228.000,42767,1,T1,1,100,30.612
1900361.000,42783,1,T1,1,100,30.584
1900494.000,42800,1,T1,1,100,30.678
1900628.000,42832,1,T1,1,100,30.683
1900761.000,42848,1,T1,1,100,30.579
1900894.000,42865,1,T1,1,100,30.676
1901027.000,42897,1,T1,1,100,30.612
1901161.000,42913,1,T1,1,100,30.655
1901294.000,42931,1,T1,1,100,30.673
1901427.000,42964,1,T1,1,100,30.646
1901561.000,42980,1,T1,1,100,30.563
1901694.000,42998,1,T1,1,100,30.705
1901827.000,43029,1,T1,1,100,30.695
1901961.000,43046,1,T1,1,100,30.655
1902094.000,43063,1,T1,1,100,30.638
1902227.000,43081,1,T1,1,100,30.631
1902361.000,43097,1,T1,1,100,30.627
1902494.000,43114,1,T1,1,100,30.626
1902627.000,43146,1,T1,1,100,30.625
1902761.000,43162,1,T1,1,100,30.483
1902894.000,43179,1,T1,1,100,30.493
1903027.000,43216,2,T1,1,100,30.497
1903160.000,43216,2,T1,1,100,30.499
1903294.000,43248,1,T1,1,100,30.641
1903427.000,43264,1,T1,1,100,30.667
1903560.000,43281,1,T1,1,100,30.502
1903694.000,43313,1,T1,1,100,30.572
1903827.000,43329,1,T1,1,100,30.708
1903960.000,43347,1,T1,1,100,30.555
1904094.000,43363,1,T1,1,100,30.559
1904227.000,43394,1,T1,1,100,30.632
1904360.000,43412,1,T1,1,100,30.628
1904494.000,43428,1,T1,1,100,30.697
1904627.000,43446,1,T1,1,100,30.656
1904760.000,43477,1,T1,1,100,30.532
1904894.000,43493,1,T1,1,100,30.620
1905027.000,43511,1,T1,1,100,30.658
1905160.000,43542,1,T1,1,100,30.639
1905294.000,43559,1,T1,1,100,30.596
1905427.000,43576,1,T1,1,100,30.577
1905560.000,43608,1,T1,1,100,30.498
1905694.000,43624,1,T1,1,100,30.535
1905827.000,43641,1,T1,1,100,30.657
1905960.000,43673,1,T1,1,100,30.603
1906094.000,43689,1,T1,1,100,30.687
1906227.000,43706,1,T1,1,100,30.723
1906360.000,43740,1,T1,1,100,30.632
1906493.000,43756,1,T1,1,100,30.628
1906627.000,43774,1,T1,1,100,30.520
1906760.000,43790,1,T1,1,100,30.509
1906893.000,43822,1,T1,1,100,30.575
1907027.000,43839,1,T1,1,100,30.603
1907160.000,43855,1,T1,1,100,30.616
1907293.000,43872,1,T1,1,100,30.656
1907427.000,43904,1,T1,1,100,30.709
1907560.000,43920,1,T1,1,100,30.555
1907693.000,43938,1,T1,1,100,30.666
1907827.000,43969,1,T1,1,100,30.643
1907960.000,43986,1,T1,1,100,30.668
1908093.000,44003,1,T1,1,100,30.679
1908227.000,44024,1,T1,1,100,30.684
1908360.000,44042,1,T1,1,100,30.615
1908493.000,44073,1,T1,1,100,30.514
1908627.000,44090,1,T1,1,100,30.577
1908760.000,44107,1,T1,1,100,30.604
1908893.000,44123,1,T1,1,100,30.651
1909027.000,44155,1,T1,1,100,30.672
1909160.000,44172,1,T1,1,100,30.574
1909293.000,44189,1,T1,1,100,30.603
1909426.000,44220,1,T1,1,100,30.616
1909560.000,44237,1,T1,1,100,30.585
1909693.000,44254,1,T1,1,100,30.608
1909827.000,44285,1,T1,1,100,30.689
1909960.000,44303,1,T1,1,100,30.582
1910093.000,44319,1,T1,1,100,30.677
1910226.000,44336,1,T1,1,100,30.683
1910360.000,44368,1,T1,1,100,30.650
1910493.000,44384,1,T1,1,100,30.636
1910626.000,44401,1,T1,1,100,30.736
1910760.000,44433,1,T1,1,100,30.709
1910893.000,44449,1,T1,1,100,30.661
1911026.000,44467,1,T1,1,100,30.782
1911160.000,44498,1,T1,1,100,30.693
1911293.000,44516,1,T1,1,100,30.796
1911426.000,44534,1,T1,1,100,30.770
1911560.000,44551,1,T1,1,100,30.688
1911693.000,44583,1,T1,1,100,30.617
1911826.000,44599,1,T1,1,100,30.692
1911959.000,44617,1,T1,1,100,30.619
1912093.000,44648,1,T1,1,100,30.693
1912226.000,44664,1,T1,1,100,30.690
1912360.000,44682,1,T1,1,100,30.582
1912493.000,44713,1,T1,1,100,30.713
1912626.000,44730,1,T1,1,100,30.805
1912760.000,44747,1,T1,1,100,30.774
1912893.000,44763,1,T1,1,100,30.618
1913026.000,44795,1,T1,1,100,30.587
1913160.000,44812,1,T1,1,100,30.644
1913293.000,44833,1,T1,1,100,30.598
1913426.000,44849,1,T1,1,100,30.649
